regiões,26/05/2022,26/05/2023,pct_change_2022_2023,nome_x,num_reservatorios_x,vol_perc_x,nome_y,num_reservatorios_y,vol_perc_y,nome,num_reservatorios,vol_perc
Acaraú,1469.63422886,1596.7961475956984,8.65,Acaraú,15,93.52,Acaraú,15,93.52250336681476,Acaraú,15,93.52
Alto Jaguaribe,1353.6204722105797,1808.898093538211,33.63,Alto Jaguaribe,24,65.42,Alto Jaguaribe,24,65.41501005363729,Alto Jaguaribe,24,65.42
Baixo Jaguaribe,22.72027852,25.050893,10.26,Baixo Jaguaribe,1,100.0,Baixo Jaguaribe,1,100.0,Baixo Jaguaribe,1,100.0
Banabuiú,262.6427979300001,1114.0259960250637,324.16,Banabuiú,19,41.63,Banabuiú,19,41.62648499634402,Banabuiú,19,41.63
Coreaú,284.7473145614037,293.2144959166663,2.97,Coreaú,10,97.95,Coreaú,10,97.94603187390535,Coreaú,10,97.95
Curu,222.732917500688,398.8841588228557,79.09,Curu,14,37.79,Curu,14,37.79396283316711,Curu,14,37.79
Litoral,159.13492628,202.791674,27.43,Litoral,10,98.45,Litoral,10,98.44747079306248,Litoral,10,98.45
Metropolitana,1187.0405919,1197.8419207069587,0.91,Metropolitana,23,82.57,Metropolitana,23,82.57367358834826,Metropolitana,23,82.57
Médio Jaguaribe,1647.9808176962235,2317.707081935065,40.64,Médio Jaguaribe,15,31.43,Médio Jaguaribe,15,31.43224791429633,Médio Jaguaribe,15,31.43
Salgado,262.3597540400005,307.020103693331,17.02,Salgado,15,68.64,Salgado,15,68.64404922811434,Salgado,15,68.64
Serra da Ibiapaba,85.283408000004,101.68227473,19.23,Serra da Ibiapaba,1,72.46,Serra da Ibiapaba,1,72.46193496445957,Serra da Ibiapaba,1,72.46
Sertões de Crateús,87.8726217698424,129.9886227771862,47.93,Sertões de Crateús,10,31.59,Sertões de Crateús,10,31.587788865451945,Sertões de Crateús,10,31.59
